name,Category,Addr,analytics,logo
Residence Inn Tuscaloosa,Category 5,"211 Rice Mine Road Loop Tuscaloosa, Alabama 35406",Residence Inn Tuscaloosa 4.9   19 Reviews View Rates,undefined undefined
SpringHill Suites Tuscaloosa,Category 5,"4020 Greensboro Avenue Tuscaloosa, Alabama 35405",SpringHill Suites Tuscaloosa 4.6   369 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Tustin Orange County,Category 4,"15011 Newport Avenue Tustin, California 92780",Fairfield Inn & Suites Tustin Orange County 4.5   590 Reviews View Rates,undefined undefined
Residence Inn Tustin Orange County,Category 4,"15181 Newport Avenue Tustin, California 92780",Residence Inn Tustin Orange County 4.4   474 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Twentynine Palms-Joshua Tree National Park,Category 3,"6333 Encelia Avenue Twentynine Palms, California 92277",Fairfield Inn & Suites Twentynine Palms-Joshua Tree National Park 4.8   518 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Twin Falls,Category 3,"1788 Washington Street North Twin Falls, Idaho 83301",Fairfield Inn & Suites Twin Falls 4.7   383 Reviews View Rates,undefined undefined
TownePlace Suites Twin Falls,Category 3,"175 Pole Line Road East Twin Falls, Idaho 83301",TownePlace Suites Twin Falls View Rates,undefined undefined
Courtyard Tyler,Category 2,"7424 South Broadway Avenue Tyler, Texas 75703",Courtyard Tyler 4.3   436 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Tyler,Category 2,"1945 W Southwest Loop 323 Tyler, Texas 75701",Fairfield Inn & Suites Tyler 4.7   393 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Tyler South,Category 2,"309 West Heritage Drive Tyler, Texas 75703",Fairfield Inn & Suites Tyler South 4.7   84 Reviews View Rates,undefined undefined
Residence Inn Tyler,Category 2,"350 West Heritage Drive Tyler, Texas 75703",Residence Inn Tyler 4.7   443 Reviews View Rates,undefined undefined
Sheraton Tysons Hotel,Category 3,"8661 Leesburg Pike Tysons, Virginia 22182",Sheraton Tysons Hotel 3.6   758 Reviews View Rates,undefined undefined
Tysons Corner Marriott,Category 4,"8028 Leesburg Pike Tysons Corner, Virginia 22182",Tysons Corner Marriott 4.3   840 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Ukiah Mendocino County,Category 4,"1140 Airport Park Boulevard Ukiah, California 95482",Fairfield Inn & Suites Ukiah Mendocino County 4.1   198 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Uncasville Groton Area,Category 4,"2255 Norwich New London Turnpike Uncasville, Connecticut 06382",Fairfield Inn & Suites Uncasville Groton Area 4.5   556 Reviews View Rates,undefined undefined
Long Island Marriott,Category 4,"101 James Doolittle Boulevard Uniondale, New York 11553",Long Island Marriott 4   1118 Reviews View Rates,undefined undefined
Sheraton Universal Hotel,Category 5,"333 Universal Hollywood Drive Universal City, California 91608",Sheraton Universal Hotel 3.6   1462 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Des Moines Urbandale,Category 2,"8661 Plum Dr Urbandale, Iowa 50322",Fairfield Inn & Suites Des Moines Urbandale 4.5   296 Reviews View Rates,undefined undefined
Courtyard Detroit Utica,Category 2,"46000 Utica Park Boulevard Utica, Michigan 48315",Courtyard Detroit Utica 4.3   373 Reviews View Rates,undefined undefined
Delta Hotels Utica,Category 4,"200 Genesee Street Utica, New York 13502",Delta Hotels Utica 4.3   159 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Utica,Category 3,"71 North Genesee Street Utica, New York 13502",Fairfield Inn & Suites Utica 4.6   318 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/UCAFI/ucafi-entrance-0003-hor-feat.jpg?resize=375:150 undefined
Courtyard Vacaville,Category 3,"120 Nut Tree Parkway Vacaville, California 95687-3251",Courtyard Vacaville 4.4   492 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/SACVA/sacva-lobby-0044-hor-feat.jpg?resize=375:150 undefined
Fairfield Inn Vacaville,Category 3,"370 Orange Drive Vacaville, California 95687",Fairfield Inn Vacaville 4.1   330 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/SACFV/sacfv-exterior-0013-hor-feat.jpg?resize=375:150 undefined
Residence Inn Vacaville,Category 3,"360 Orange Drive Vacaville, California 95687",Residence Inn Vacaville 4.2   298 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/SACVV/sacvv-lobby-3811-hor-feat.jpg?resize=375:150 undefined
Fairfield Inn & Suites St. Paul Northeast,Category 3,"1125 East County Road E Vadnais Heights, Minnesota 55110",Fairfield Inn & Suites St. Paul Northeast 4.7   318 Reviews View Rates,undefined undefined
Marriott's StreamSide Birch at Vail,Category 6,"2284 South Frontage Road West Vail, Colorado 81657",Marriott's StreamSide Birch at Vail View Rates,undefined undefined
Marriott's StreamSide Douglas at Vail,Category 7,"2284 South Frontage Road West Vail, Colorado 81657",Marriott's StreamSide Douglas at Vail View Rates,undefined undefined
Marriott's StreamSide Evergreen at Vail,Category 7,"2284 South Frontage Road West Vail, Colorado 81657",Marriott's StreamSide Evergreen at Vail View Rates,undefined undefined
Vail Marriott Mountain Resort,Category 7,"715 West Lionshead Circle Vail, Colorado 81657",Vail Marriott Mountain Resort 4.2   726 Reviews View Rates,https://www.marriott.com/Images/Brands/MHR/Multimedia/MH-Badge-EN-450x85[1].png undefined undefined
"The Ritz Carlton Club, Vail",,"728 West Lionshead Circle Vail, Colorado 81657","The Ritz Carlton Club, Vail     Open in a different browser tab View Rates",undefined undefined
Courtyard Valdosta,Category 3,"1564 Baytree Road Valdosta, Georgia 31602",Courtyard Valdosta 4.2   387 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Valdosta,Category 3,"2010 West Hill Avenue Valdosta, Georgia 31601",Fairfield Inn & Suites Valdosta 4.5   700 Reviews View Rates,undefined undefined
Courtyard Santa Clarita Valencia,Category 4,"28523 Westinghouse Place Valencia, California 91355",Courtyard Santa Clarita Valencia 4.4   604 Reviews View Rates,undefined undefined
Courtyard Vallejo Napa Valley,Category 3,"1000 Fairgrounds Drive Vallejo, California 94589",Courtyard Vallejo Napa Valley 4.1   619 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Valparaiso,Category 2,"2101 E Morthland Drive Valparaiso, Indiana 46383",Fairfield Inn & Suites Valparaiso 3.9   245 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Van Canton Area,Category 2,"3064 Interstate 20 Van, Texas 75790",Fairfield Inn & Suites Van Canton Area 4.8   210 Reviews View Rates,undefined undefined
Residence Inn Portland Vancouver,Category 3,"411 SE 123rd Avenue Vancouver, Washington 98683",Residence Inn Portland Vancouver View Calendar,undefined undefined
SpringHill Suites Portland Vancouver,Category 3,"1421 SE Tech Center Dr Vancouver, Washington 98683",SpringHill Suites Portland Vancouver 4.5   375 Reviews View Rates,undefined undefined
TownePlace Suites Portland Vancouver,Category 3,"17717 SE Mill Plain Boulevard Vancouver, Washington 98683",TownePlace Suites Portland Vancouver 4.7   253 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Venice,Category 4,"2935 Executive Drive Venice, Florida 34292",Fairfield Inn & Suites Venice 4.6   463 Reviews View Rates,undefined undefined
Ventura Beach Marriott,Category 5,"2055 Harbor Blvd. Ventura, California 93001",Ventura Beach Marriott 4   748 Reviews View Rates,https://www.marriott.com/Images/Brands/MHR/Multimedia/MH-Badge-EN-450x85[1].png undefined undefined
Four Points by Sheraton Ventura Harbor Resort,Category 4,"1050 Schooner Drive Ventura, California 93001",Four Points by Sheraton Ventura Harbor Resort 3.8   580 Reviews View Rates,undefined undefined
SpringHill Suites Vernal,Category 1,"1205 West Highway 40 Vernal, Utah 84078",SpringHill Suites Vernal 4.6   373 Reviews View Rates,undefined undefined
TownePlace Suites Vernal,Category 1,"1219 West Highway 40 Vernal, Utah 84078",TownePlace Suites Vernal 4.6   218 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Vero Beach,Category 3,"9065 Americana Way Vero Beach, Florida 32966",Fairfield Inn & Suites Vero Beach View Calendar,undefined undefined
SpringHill Suites Vero Beach,Category 4,"5115 Indian River Blvd Vero Beach, Florida 32967",SpringHill Suites Vero Beach 4.7   398 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Madison Verona,Category 3,"613 West Verona Avenue Verona, Wisconsin 53593",Fairfield Inn & Suites Madison Verona 4.9   405 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Verona,Category 3,"5280 Willow Place Verona, New York 13478",Fairfield Inn & Suites Verona 4.6   408 Reviews View Rates,undefined undefined
Courtyard Binghamton,Category 2,"3801 Vestal Parkway East Vestal, New York 13850",Courtyard Binghamton 4.6   379 Reviews View Rates,undefined undefined
Residence Inn Binghamton,Category 2,"4610 Vestal Parkway East Vestal, New York 13850",Residence Inn Binghamton 4.4   309 Reviews View Rates,undefined undefined
Courtyard Vicksburg,Category 2,"1 Underwood Drive Vicksburg, Mississippi 39180",Courtyard Vicksburg 4.6   544 Reviews View Rates,undefined undefined
Courtyard Victoria,Category 1,"8002 North Navarro Street Victoria, Texas 77904",Courtyard Victoria 4.7   472 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Victoria,Category 1,"7502 N Navarro Street Victoria, Texas 77904",Fairfield Inn & Suites Victoria 4.6   200 Reviews View Rates,undefined undefined
TownePlace Suites Vidalia,Category 2,"215 Front Street Vidalia, Louisiana 71373",TownePlace Suites Vidalia 4.6   63 Reviews View Rates,undefined undefined
Courtyard Dunn Loring Fairfax,Category 2,"2722 Gallows Road Vienna, Virginia 22180",Courtyard Dunn Loring Fairfax 4.7   692 Reviews View Rates,undefined undefined
Residence Inn Tysons,Category 3,"8400 Old Courthouse Road Vienna, Virginia 22182",Residence Inn Tysons 4.2   355 Reviews View Rates,undefined undefined
TownePlace Suites Vincennes,Category 2,"1320 Willow Street Vincennes, Indiana 47591",TownePlace Suites Vincennes 4.7   410 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Virgin Zion National Park,Category 6,"One Camino Del Rio Virgin, Utah 84779",Fairfield Inn & Suites Virgin Zion National Park 4.6   92 Reviews View Rates,undefined undefined
"The Cavalier Virginia Beach, Autograph Collection",Category 6,"4200 Atlantic Avenue Virginia Beach, Virginia 23451","The Cavalier Virginia Beach, Autograph Collection 4.6   281 Reviews View Rates",undefined undefined
Courtyard Virginia Beach Norfolk,Category 3,"5700 Greenwich Road Virginia Beach, Virginia 23462",Courtyard Virginia Beach Norfolk 4.2   465 Reviews View Rates,undefined undefined
Courtyard Virginia Beach Oceanfront/North 37th Street,Category 5,"3737 Atlantic Ave Virginia Beach, Virginia 23451",Courtyard Virginia Beach Oceanfront/North 37th Street 4.3   943 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/ORFOF/orfof-exterior-8781-hor-feat.jpg?resize=375:150 undefined
Courtyard Virginia Beach Oceanfront/South,Category 5,"2501 Atlantic Ave. Virginia Beach, Virginia 23451",Courtyard Virginia Beach Oceanfront/South 4.2   838 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/ORFOC/orfoc-entrance-0068-hor-feat.jpg?resize=375:150 undefined
Delta Hotels Virginia Beach Bayfront Suites,Category 5,"2800 Shore Drive Virginia Beach, Virginia 23451",Delta Hotels Virginia Beach Bayfront Suites View Calendar,https://cache.marriott.com/marriottassets/marriott/ORFDB/orfdb-exterior-6578-hor-feat.jpg?resize=375:150 undefined
Fairfield Inn & Suites Virginia Beach Oceanfront,Category 5,"1901 Atlantic Avenue Virginia Beach, Virginia 23451",Fairfield Inn & Suites Virginia Beach Oceanfront 4.3   779 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/ORFVA/orfva-exterior-0044-hor-feat.jpg?resize=375:150 undefined
Fairfield Inn & Suites Virginia Beach/Norfolk Airport,Category 3,"5800 Burton Station Road Virginia Beach, Virginia 23455",Fairfield Inn & Suites Virginia Beach/Norfolk Airport View Calendar,undefined undefined
Marriott Virginia Beach Oceanfront,Category 6,"4201 Atlantic Avenue Virginia Beach, Virginia 23451",Marriott Virginia Beach Oceanfront View Calendar,undefined undefined
Residence Inn Virginia Beach Oceanfront,Category 5,"3217 Atlantic Ave Virginia Beach, Virginia 23451",Residence Inn Virginia Beach Oceanfront 4.2   571 Reviews View Rates,undefined undefined
Residence Inn Virginia Beach Town Center,Category 3,"221 Bendix Road Virginia Beach, Virginia 23452",Residence Inn Virginia Beach Town Center 4.7   74 Reviews View Rates,undefined undefined
SpringHill Suites Virginia Beach Oceanfront,Category 5,"901 Atlantic Avenue Virginia Beach, Virginia 23451",SpringHill Suites Virginia Beach Oceanfront 4.3   925 Reviews View Rates,undefined undefined
Four Points by Sheraton Virginia Beach Oceanfront,Category 5,"1211 Atlantic Avenue Virginia Beach, Virginia 23451",Four Points by Sheraton Virginia Beach Oceanfront 4.2   227 Reviews View Rates,undefined undefined
Sheraton Virginia Beach Oceanfront Hotel,Category 5,"3501 Atlantic Avenue Virginia Beach, Virginia 23451",Sheraton Virginia Beach Oceanfront Hotel 3.8   817 Reviews View Rates,undefined undefined
TownePlace Suites Virginia Beach,Category 3,"5757 Cleveland Street Virginia Beach, Virginia 23462",TownePlace Suites Virginia Beach 4.2   275 Reviews View Rates,undefined undefined
The Westin Virginia Beach Town Center,Category 4,"4535 Commerce Street Virginia Beach, Virginia 23462",The Westin Virginia Beach Town Center 3.9   622 Reviews View Rates,undefined undefined
Fairfield Inn Visalia Sequoia,Category 3,"140 South Akers Street Visalia, California 93291",Fairfield Inn Visalia Sequoia 4.2   328 Reviews View Rates,undefined undefined
Visalia Marriott at the Convention Center,Category 4,"300 South Court Visalia, California 93291",Visalia Marriott at the Convention Center 4.1   595 Reviews View Rates,https://www.marriott.com/Images/Brands/MHR/Multimedia/MH-Badge-EN-450x85[1].png undefined undefined
Residence Inn Visalia,Category 4,"205 North Plaza Drive Visalia, California 93291",Residence Inn Visalia View Calendar,undefined undefined
TownePlace Suites San Diego Carlsbad/Vista,Category 3,"2201 South Melrose Drive Vista, California 92081",TownePlace Suites San Diego Carlsbad/Vista 4.6   375 Reviews View Rates,undefined undefined
SpringHill Suites Voorhees Mt. Laurel/Cherry Hill,Category 3,"1031 Voorhees Drive Voorhees, New Jersey 08043",SpringHill Suites Voorhees Mt. Laurel/Cherry Hill 4.4   559 Reviews View Rates,undefined undefined
Courtyard Waco,Category 3,"101 Washington Avenue Waco, Texas 76701",Courtyard Waco 4.2   596 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Waco North,Category 3,"4257 North IH-35 Waco, Texas 76705",Fairfield Inn & Suites Waco North 4.4   496 Reviews View Rates,undefined undefined
Residence Inn Waco,Category 4,"501 S.  University Parks Drive Waco, Texas 76706",Residence Inn Waco 4.6   441 Reviews View Rates,undefined undefined
Aloft Waco Downtown,,"900 South 11th Street Waco, Texas 76706",Aloft Waco Downtown View Calendar,undefined undefined
TownePlace Suites Waco Northeast,Category 3,"4505 North Interstate 35 Frontage Road Waco, Texas 76705",TownePlace Suites Waco Northeast View Calendar,undefined undefined
TownePlace Suites Waco South,Category 3,"5621 Legend Lake Parkway Waco, Texas 76712",TownePlace Suites Waco South 4.3   298 Reviews View Rates,undefined undefined
"The Ritz-Carlton Residences, Waikiki Beach",Category 7,"383 Kalaimoku Street Waikiki Beach, Hawaii 96815","The Ritz-Carlton Residences, Waikiki Beach     Open in a different browser tab 4.6   699 Reviews View Rates",undefined undefined
Marriott’s Waikoloa Ocean Club,Category 7,"69-275 Waikoloa Beach Drive, TA-070-692-2496-08 Waikoloa Beach, Hawaii 96738",Marriott’s Waikoloa Ocean Club View Rates,undefined undefined
Waikoloa Beach Marriott Resort & Spa,Category 6,"69-275 Waikoloa Beach Drive Waikoloa Beach, Hawaii 96738",Waikoloa Beach Marriott Resort & Spa 4.3   971 Reviews View Rates,https://www.marriott.com/Images/Brands/MHR/Multimedia/MH-Badge-EN-450x85[1].png undefined undefined
"Wailea Beach Resort - Marriott, Maui",Category 6,"3700 Wailea Alanui Drive Wailea, Hawaii 96753","Wailea Beach Resort - Marriott, Maui 4.4   1831 Reviews View Rates",https://www.marriott.com/Images/Brands/MHR/Multimedia/MH-Badge-EN-450x85[1].png undefined undefined
Residence Inn Maui Wailea,Category 6,"75 Wailea Ike Drive Wailea, Hawaii 96753",Residence Inn Maui Wailea 4.7   840 Reviews View Rates,undefined undefined
Residence Inn St. Cloud,Category 3,"450 Division Street Waite Park, Minnesota 56387",Residence Inn St. Cloud 4.7   61 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Raleigh Wake Forest,Category 2,"12051 Retail Drive Wake Forest, North Carolina 27587",Fairfield Inn & Suites Raleigh Wake Forest View Rates,undefined undefined
Four Points by Sheraton Wakefield Boston Hotel & Conference Center,Category 3,"One Audubon Road Wakefield, Massachusetts 01880",Four Points by Sheraton Wakefield Boston Hotel & Conference Center 4   602 Reviews View Rates,undefined undefined
Courtyard Waldorf,Category 3,"3145 Crain Highway Waldorf, Maryland 20603",Courtyard Waldorf 3.9   466 Reviews View Rates,undefined undefined
Residence Inn Waldorf,Category 3,"3020 Technology Place Waldorf, Maryland 20601",Residence Inn Waldorf 4.1   316 Reviews View Rates,undefined undefined
Courtyard Wall at Monmouth Shores Corporate Park,Category 4,"1302 Campus Parkway Wall Township, New Jersey 07753",Courtyard Wall at Monmouth Shores Corporate Park 4.1   485 Reviews View Rates,undefined undefined
Courtyard Walla Walla,Category 4,"550 West Rose Street Walla Walla, Washington 99362",Courtyard Walla Walla 4.6   459 Reviews View Rates,undefined undefined
Courtyard New Haven Wallingford,Category 2,"600 Northrop Road Wallingford, Connecticut 06492",Courtyard New Haven Wallingford 4.4   474 Reviews View Rates,undefined undefined
Fairfield Inn New Haven Wallingford,Category 2,"100 Miles Drive Wallingford, Connecticut 06492",Fairfield Inn New Haven Wallingford 4.5   489 Reviews View Rates,undefined undefined
Walnut Creek Marriott,Category 4,"2355 North Main Street Walnut Creek, California 94596",Walnut Creek Marriott 4.2   767 Reviews View Rates,https://www.marriott.com/Images/Brands/MHR/Multimedia/MH-Badge-EN-450x85[1].png undefined undefined
Renaissance Walnut Creek Hotel,Category 4,"2805 Jones Road Walnut Creek, California 94597",Renaissance Walnut Creek Hotel 4.6   430 Reviews View Rates,undefined undefined
Residence Inn Walnut Creek,Category 4,"2050 North California Boulevard Walnut Creek, California 94596",Residence Inn Walnut Creek View Calendar,https://cache.marriott.com/marriottassets/marriott/OAKRW/oakrw-exterior-5825-hor-feat.jpg?resize=375:150 undefined
Fairfield Inn & Suites Boston Walpole,Category 3,"630 Providence Highway Walpole, Massachusetts 02081",Fairfield Inn & Suites Boston Walpole 4.7   220 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/BOSPO/bospo-exterior-0016-hor-feat.jpg?resize=375:150 undefined
Courtyard Boston Waltham,Category 4,"387 Winter Street Waltham, Massachusetts 02451",Courtyard Boston Waltham 4.5   448 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/BOSWM/boswm-lobby-5357-hor-feat.jpg?resize=375:150 undefined
Fairfield Inn & Suites Boston Waltham,Category 4,"250 Second Avenue Waltham, Massachusetts 02451",Fairfield Inn & Suites Boston Waltham 4.4   123 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/BOSWL/boswl-lobby-2603-hor-feat.jpg?resize=375:150 undefined
Residence Inn Boston Waltham,Category 4,"250 Second Avenue Waltham, Massachusetts 02451",Residence Inn Boston Waltham 4.6   67 Reviews View Rates,undefined undefined
The Westin Waltham Boston,Category 5,"70 Third Avenue Waltham, Massachusetts 02451",The Westin Waltham Boston 3.6   588 Reviews View Rates,undefined undefined
TownePlace Suites Wareham Buzzards Bay,Category 4,"50 Rosebrook Place Wareham, Massachusetts 02571",TownePlace Suites Wareham Buzzards Bay 4.7   371 Reviews View Rates,undefined undefined
Courtyard Warner Robins,Category 2,"589 Carl Vinson Parkway Warner Robins, Georgia 31088",Courtyard Warner Robins 4.7   538 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Warner Robins,Category 2,"221 Margie Dr. Warner Robins, Georgia 31088",Fairfield Inn & Suites Warner Robins 4.5   360 Reviews View Rates,undefined undefined
Courtyard Detroit Warren,Category 2,"30190 Van Dyke Avenue Warren, Michigan 48093",Courtyard Detroit Warren 4.3   490 Reviews View Rates,undefined undefined
Fairfield Inn Warren Niles,Category 2,"1860 Niles-Cortland Road SE Warren, Ohio 44484",Fairfield Inn Warren Niles 4.1   297 Reviews View Rates,undefined undefined
Residence Inn Detroit Warren,Category 2,"30120 N. Civic Center Blvd Warren, Michigan 48093",Residence Inn Detroit Warren 4.3   484 Reviews View Rates,undefined undefined
TownePlace Suites Detroit Warren,Category 2,"7601 Chicago Road Warren, Michigan 48092",TownePlace Suites Detroit Warren 4.4   303 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Warrensburg,Category 3,"355 East Russell Avenue Warrensburg, Missouri 64093",Fairfield Inn & Suites Warrensburg 4.8   257 Reviews View Rates,undefined undefined
Cleveland Marriott East,Category 3,"26300 Harvard Road Warrensville Heights, Ohio 44122",Cleveland Marriott East 4.2   512 Reviews View Rates,https://www.marriott.com/Images/Brands/MHR/Multimedia/MH-Badge-EN-450x85[1].png undefined undefined
Residence Inn Chicago Naperville/Warrenville,Category 2,"28500 Bella Vista Parkway Warrenville, Illinois 60555",Residence Inn Chicago Naperville/Warrenville 4.4   426 Reviews View Rates,undefined undefined
SpringHill Suites Chicago Naperville/Warrenville,Category 2,"4305 Weaver Parkway Warrenville, Illinois 60555",SpringHill Suites Chicago Naperville/Warrenville 4.5   362 Reviews View Rates,undefined undefined
Courtyard Providence Warwick,Category 4,"55 Jefferson Park Road Warwick, Rhode Island 02888",Courtyard Providence Warwick 4.4   403 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Providence Airport Warwick,Category 3,"1940 Post Road Warwick, Rhode Island 02886",Fairfield Inn & Suites Providence Airport Warwick 4.4   194 Reviews View Rates,undefined undefined
AC Hotel Washington DC Downtown,Category 5,"1112 19th Street NW Washington, District Of Columbia 20036",AC Hotel Washington DC Downtown View Calendar,undefined undefined
"The Mayflower Hotel, Autograph Collection",Category 6,"1127 Connecticut Avenue NW Washington, District Of Columbia 20036","The Mayflower Hotel, Autograph Collection 4.4   1437 Reviews View Rates",undefined undefined
Courtyard Pittsburgh Washington/Meadow Lands,Category 2,"1800 Tanger Boulevard Washington, Pennsylvania 15301",Courtyard Pittsburgh Washington/Meadow Lands 4.6   472 Reviews View Rates,undefined undefined
Courtyard Washington Capitol Hill/Navy Yard,Category 5,"140 L Street SE Washington, District Of Columbia 20003",Courtyard Washington Capitol Hill/Navy Yard 4.3   792 Reviews View Rates,undefined undefined
Courtyard Washington Downtown/Convention Center,Category 5,"901 L Street NW Washington, District Of Columbia 20001",Courtyard Washington Downtown/Convention Center 4.4   268 Reviews View Rates,undefined undefined
"Courtyard Washington, DC/Dupont Circle",Category 5,"1900 Connecticut Avenue NW Washington, District Of Columbia 20009","Courtyard Washington, DC/Dupont Circle 4.4   502 Reviews View Rates",undefined undefined
"Courtyard Washington, DC/Foggy Bottom",Category 5,"515 20th Street NW Washington, District Of Columbia 20006","Courtyard Washington, DC/Foggy Bottom 4.5   663 Reviews View Rates",undefined undefined
"Courtyard Washington, DC/U.S. Capitol",Category 4,"1325 2nd Street NE Washington, District Of Columbia 20002","Courtyard Washington, DC/U.S. Capitol 4.2   818 Reviews View Rates",undefined undefined
Fairfield Inn & Suites Washington,Category 2,"2090 West 15th Street Washington, North Carolina 27889",Fairfield Inn & Suites Washington 4.7   252 Reviews View Rates,undefined undefined
"Fairfield Inn & Suites Washington, DC/Downtown",Category 5,"500 H Street NW Washington, District Of Columbia 20001","Fairfield Inn & Suites Washington, DC/Downtown 4.4   973 Reviews View Rates",undefined undefined
"Fairfield Inn & Suites Washington, DC/New York Avenue",Category 4,"2305 New York Avenue NE Washington, District Of Columbia 20002","Fairfield Inn & Suites Washington, DC/New York Avenue 4.4   485 Reviews View Rates",undefined undefined
"JW Marriott Washington, DC",Category 6,"1331 Pennsylvania Avenue NW Washington, District Of Columbia 20004","JW Marriott Washington, DC 4.4   2418 Reviews View Rates",undefined undefined
"Marriott Marquis Washington, DC",Category 5,"901 Massachusetts Avenue NW Washington, District Of Columbia 20001","Marriott Marquis Washington, DC 4.5   2632 Reviews View Rates",undefined undefined
"Marriott Vacation Club Pulse at The Mayflower, Washington, D.C.",Category 6,"1127 Connecticut Avenue NW, 7th Floor Washington, District Of Columbia 20036","Marriott Vacation Club Pulse at The Mayflower, Washington, D.C. View Rates",undefined undefined
Washington Marriott at Metro Center,Category 5,"775 12th Street NW Washington, District Of Columbia 20005",Washington Marriott at Metro Center 4.6   1409 Reviews View Rates,undefined undefined
Washington Marriott Georgetown,Category 5,"1221 22nd Street NW Washington, District Of Columbia 20037",Washington Marriott Georgetown 4.4   911 Reviews View Rates,https://www.marriott.com/Images/Brands/MHR/Multimedia/MH-Badge-EN-450x85[1].png undefined undefined
Washington Marriott Wardman Park,Category 5,"2660 Woodley Road NW Washington, District Of Columbia 20008",Washington Marriott Wardman Park 4   2406 Reviews View Rates,undefined undefined
"Moxy Washington, DC Downtown",Category 5,"1011 K Street NW Washington, District Of Columbia 20001","Moxy Washington, DC Downtown 4.1   192 Reviews View Rates",undefined undefined
"Renaissance Washington, DC Downtown Hotel",Category 5,"999 Ninth Street NW Washington, District Of Columbia 20001","Renaissance Washington, DC Downtown Hotel 4.3   2049 Reviews View Rates",undefined undefined
Residence Inn Washington Capitol Hill/Navy Yard,Category 5,"1233 First Street SE Washington, District Of Columbia 20003",Residence Inn Washington Capitol Hill/Navy Yard 4.7   461 Reviews View Rates,undefined undefined
Residence Inn Washington Downtown/Convention Center,Category 5,"901 L Street NW Washington, District Of Columbia 20001",Residence Inn Washington Downtown/Convention Center 4.4   140 Reviews View Rates,undefined undefined
"Residence Inn Washington, DC Downtown",Category 5,"1199 Vermont Avenue, NW Washington, District Of Columbia 20005","Residence Inn Washington, DC Downtown 4.4   679 Reviews View Rates",https://cache.marriott.com/marriottassets/marriott/WASDC/wasdc-exterior-0045-hor-feat.jpg?resize=375:150 undefined
"Residence Inn Washington, DC/Capitol",Category 5,"333 E St. SW Washington, District Of Columbia 20024","Residence Inn Washington, DC/Capitol 4.4   907 Reviews View Rates",https://cache.marriott.com/marriottassets/marriott/WASCP/wascp-lobby-4648-hor-feat.jpg?resize=375:150 undefined
"Residence Inn Washington, DC/Dupont Circle",Category 5,"2120 P Street NW Washington, District Of Columbia 20037","Residence Inn Washington, DC/Dupont Circle 4.5   416 Reviews View Rates",https://cache.marriott.com/marriottassets/marriott/WASRI/wasri-exterior-0001-hor-feat.jpg?resize=375:150 undefined
"Residence Inn Washington, DC/Foggy Bottom",Category 5,"801 New Hampshire Avenue NW Washington, District Of Columbia 20037-2304","Residence Inn Washington, DC/Foggy Bottom 4.5   614 Reviews View Rates",https://cache.marriott.com/marriottassets/marriott/WASFG/wasfg-exterior-0001-hor-feat.jpg?resize=375:150 undefined
SpringHill Suites Pittsburgh Washington,Category 2,"16 Trinity Point Drive Washington, Pennsylvania 15301",SpringHill Suites Pittsburgh Washington 4.1   312 Reviews View Rates,undefined undefined
SpringHill Suites St. George Washington,Category 4,"122 North Green Spring Drive Washington, Utah 84780",SpringHill Suites St. George Washington View Calendar,undefined undefined
"The Ritz-Carlton Georgetown, Washington, D.C.",Category 7,"3100 South Street NW Washington, District Of Columbia 20007","The Ritz-Carlton Georgetown, Washington, D.C.     Open in a different browser tab 4.8   154 Reviews View Rates",undefined undefined
"The Ritz-Carlton, Washington, D.C.",Category 7,"1150 22nd Street, N.W. Washington, District Of Columbia 20037","The Ritz-Carlton, Washington, D.C.     Open in a different browser tab 4.6   354 Reviews View Rates",undefined undefined
